hazle	hazles,hazel
liiga	liigaa,liigalla,gangsteriliiga,liigaan,liigojen,liigoja,liigoilta,varasliiga,liigoihin,liigoilla,liigautua,liigain,liigassa,liigoiksi,liigoineen,liigan,liigoina,nappulaliiga,jalkapalloliiga,liigoissa,liigasta,liigoista,liigoille,liigalta,liigatta,liigoitta,mimmiliiga,liigalle,liigaksi,league,liigana,liigoin,liigat,liigajoukkue,liigaottelu
gocha	pig,goches
servicewoman	-woman,service
etouffee	etouffees,étouffée
farfalle	butterflies,bow tie
trafico	traficar,eu
formato	formatoj,formi,formaton,formatojn
kawagishi	romaji,かわぎし
unshirkable	shirkable,un-
fossorial	fossorius,fodio
astrophotography	astro-,photography
abortifacient	facere,abortion,-facient
self-restraint	restraint,self-
unresponsiveness	unresponsive,-ness
isoelectric	iso-,electric
chapterhouse	chapter house,chapterhouses
guanaco	wanaku,guanaco
dzintars	dzintari,dzintariem,dzintara,amber,instrumentālis,vokatīvs,ģenitīvs,dzintaru,dzintarus,dzintaros,datīvs,dzintaram,dzītars,dzintarā,lokatīvs,saulesakmens,daudzskaitlis,akuzatīvs,vienskaitlis,zītars,nominatīvs
β-lactam	beta-lactam,lactam,β,β-lactams
maidenhair	hair,maiden
hinter	hint,-er
numerological	-ical,numerology
redactor	-or,redact
colchicine	kolchicyna,rheumatic,kolchicin,コルヒチン,coltchicene,toxic,alkaloid,colchicina,thiocolchicine,colchicines,колхицин,colchicine,gout,chemical formula
coachbuilding	building,coach
ciborium	κιβώριον,cupulate,ciborium,seed pod
prayerbook	prayer book,prayerbooks
tyrosinase	tyrosine,-ase
man-eater	man eater,maneater
wom	ómr,vox,ómun,giwahan
ilea	ilia,ileum
chartism	-ism,chart
naiveté	naïveté,naivetés
casuistry	casuist,-ry
vervain	verbena,verveine
multiscreen	screen,multi-
inglés	inglesa,inglés,ingleses,ingleso
frade	frater,frade
bigleaf	leaf,big
rendang	coconut milk,beef,rendangs
flippy	flip,-y
tickler	tickle,-er
antennal	antenna,-al
gay-friendly	more,most,gay,gay-friendliness,friendly
unprofessionally	unprofessional,-ly
dalet	daleth,daled
piquing	peaking,peeking
paresis	πάρεσις,παρα-,ἰέναι,παριέναι
psalmist	-ist,psalm
diffusive	-ive,diffuse
barbata	root,barbate,vine,cutting,shoot
selten	zelden,seldom,seltan
sadam	sadamateks,sadamat,sadamaist,sadamana,sadama,sadamates,sadamate,sadamalt,sadamatel,sadamaga,sadamatena,sadamale,sadamata,sadamailt,sadamatele,sadamail,sadamatest,sadamaid,sadamaks,sadamaisse,sadamad,sadamast,sadamateta,sadamal,sadamani,sadamais,sadamasse,sadamatesse,sadamateni,sadamatega,sadamatelt,sadamaiks,sadamas,sadamaile,harbour
helicity	component,elicità,kierteisyys,particle,helicidad,electromagnetic field,magnetic field,magnetic helicity,quantized,helicities,field line,helical,vortex line,spin,physics,hydrodynamical helicity
handwoven	woven,hand
heptagonal	έπτάγωνος,-al,heptagon
sweety	sweet,-y
square-rigged	rigged,fore-and-aft-rigged,square-rigger,nautical,square sail,a vela quadra,gaff rigged,square,spar,perpendicular,raakatakiloitu,keel
myofascial	fascia,-al,myo-
panfish	fish,pan
teknik	τέχνη,technique,τεχνικός
batfish	ogcocephalid,peikkokrotti,anglerfish,sea bat,bat fish,batfishes,red-lipped batfish,lepakkokala,longnose batfish,rosy-lipped batfish
tenax	teneo,-ax
trone	trones,trogne,drain
treewidth	width,tree
manele	manea,manele
teratoma	-oma,terato-
fabbro	literary,fabro
yuzuru	romaji,ゆずる,ゆづる
folksiness	folksy,-ness
